Gestionnaire,RaisonSociale,categ,info_categ,Commune,NomCommune,Pollution,PopLegaleTotale,
31555014C,LYONNAISE DES EAUX FRANCE ,9A01,Industriels,31042,Bagnères de Luchon,O,2743,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31043,Balesta,O,179,1
31555472A,COMMUNAUTE URBAINE TOULOUSE METROPOLE ,3G01,Communautés urbaines,31044,Balma,O,13203,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31045,Barbazan,O,464,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31046,Baren,O,5,1
09272001A,SYNDICAT MIXTE DEPARTEMENTAL EAU ASSAINISSEMENT DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31047,Bax,O,89,1
31254002B,COMMUNAUTE D'AGGLOMERATION DU SICOVAL ,3H01,Communautés d'agglomérations,31048,Baziège,O,3252,1
31555052B,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX ,9A01,Industriels,31049,Bazus,O,593,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31050,Beauchalot,O,528,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31051,Beaufort,O,371,1
09272001A,SYNDICAT MIXTE DEPARTEMENTAL EAU ASSAINISSEMENT DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31052,Beaumont sur Lèze,O,1522,1
31206001A,S.I. DES EAUX DE LA RIVE GAUCHE DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31052,Beaumont sur Lèze,O,1522,0
31555472A,COMMUNAUTE URBAINE TOULOUSE METROPOLE ,3G01,Communautés urbaines,31053,Beaupuy,O,1315,1
31396001B,SYNDICAT INTERCOMMUNAL DES EAUX DES COTEAUX HERS-ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31054,Beauteville,O,164,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31055,Beauville,O,135,1
31555472A,COMMUNAUTE URBAINE TOULOUSE METROPOLE ,3G01,Communautés urbaines,31056,Beauzelle,O,5175,1
31254002B,COMMUNAUTE D'AGGLOMERATION DU SICOVAL ,3H01,Communautés d'agglomérations,31057,Belberaud,O,1318,1
31254002B,COMMUNAUTE D'AGGLOMERATION DU SICOVAL ,3H01,Communautés d'agglomérations,31058,Belbèze de Lauragais,O,98,1
31315001B,S.I. EAUX ET ASSAINISSEMENT DES VALLEES DE L'ARBAS ET BAS SALAT,3D04,"Syndicat d'assainisement, eau potable",31059,Belbèze en Comminges,O,109,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31060,Bélesta en Lauragais,O,114,1
31351001A,S.I. DES EAUX DE LA VALLEE DE LA SAVE ET DES COTEAUX DE CADOURS,3D04,"Syndicat d'assainisement, eau potable",31061,Bellegarde Sainte Marie,O,198,1
31351001A,S.I. DES EAUX DE LA VALLEE DE LA SAVE ET DES COTEAUX DE CADOURS,3D04,"Syndicat d'assainisement, eau potable",31062,Bellesserre,O,84,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31063,Benque,O,158,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31064,Benque Dessous et Dessus,O,20,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31065,Bérat,O,2662,1
31288001A,S.I. DES EAUX DE LA RIVE DROITE DU TARN ,3D04,"Syndicat d'assainisement, eau potable",31066,Bessières,O,3158,1
31555014C,LYONNAISE DES EAUX FRANCE ,9A01,Industriels,31066,Bessières,O,3158,0
31555052B,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX ,9A01,Industriels,31066,Bessières,O,3158,0
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31067,Bezins Garraux,O,55,1
31068000A,COMMUNE DE BILLIERE ,2A01,Communes du bassin,31068,Billière,O,25,1
31555052B,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX ,9A01,Industriels,31069,Blagnac,O,21961,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31070,Blajan,O,516,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31071,Bois de la Pierre,O,421,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31072,Boissède,O,84,1
31288001A,S.I. DES EAUX DE LA RIVE DROITE DU TARN ,3D04,"Syndicat d'assainisement, eau potable",31073,Bondigoux,O,444,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31074,Bonrepos Riquet,O,243,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31075,Bonrepos sur Aussonnelle,O,827,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31076,Bordes de Rivière,O,472,1
