Gestionnaire,RaisonSociale,categ,info_categ,Commune,NomCommune,Pollution,PopLegaleTotale,
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31509,Saint Pé d'Ardet,O,136,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31510,Saint Pé Delbosc,O,125,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31511,Saint Pierre,O,253,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31512,Saint Pierre de Lages,O,763,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31513,Saint Plancard,O,388,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31514,Saint Rome,O,61,1
31490001A,S.I.A.E.P. DE LA REGION DE ST JORY CASTELNAU D'ESTRETEFONDS,3D04,"Syndicat d'assainisement, eau potable",31515,Saint Rustice,O,437,1
31490001A,S.I.A.E.P. DE LA REGION DE ST JORY CASTELNAU D'ESTRETEFONDS,3D04,"Syndicat d'assainisement, eau potable",31516,Saint Sauveur,O,1768,1
09272001A,SYNDICAT MIXTE DEPARTEMENTAL EAU ASSAINISSEMENT DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31517,Saint Sulpice sur Lèze,O,1871,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31518,Saint Thomas,O,571,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31519,Saint Vincent,O,158,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31520,Sajas,O,94,1
31521000A,COMMUNE DE SALEICH ,2A01,Communes du bassin,31521,Saleich,O,384,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31522,Salerm,O,54,1
31315001B,S.I. EAUX ET ASSAINISSEMENT DES VALLEES DE L'ARBAS ET BAS SALAT,3D04,"Syndicat d'assainisement, eau potable",31523,Salies du Salat,O,2020,1
31555014C,LYONNAISE DES EAUX FRANCE ,9A01,Industriels,31523,Salies du Salat,O,2020,0
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31523,Salies du Salat,O,2020,0
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31524,Salles et Pratviel,O,134,1
09272001A,SYNDICAT MIXTE DEPARTEMENTAL EAU ASSAINISSEMENT DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31525,Salles sur Garonne,O,498,1
31149006A,SYNDICAT INTERCOMMUNAL D'EAU POTABLE DE L'OUEST TOULOUSAIN,3D04,"Syndicat d'assainisement, eau potable",31526,Salvetat Saint Gilles,O,6777,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31527,Salvetat Lauragais,O,143,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31528,Saman,O,155,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31529,Samouillan,O,116,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31530,Sana,O,216,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31531,Sarrecave,O,83,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31532,Sarremezan,O,90,1
31421002A,S.I.V.O.M. PLAINE ARIEGE-GARONNE ,3D04,"Syndicat d'assainisement, eau potable",31533,Saubens,O,1808,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31534,Saussens,O,260,1
31535000A,COMMUNE DE SAUVETERRE DE COMMINGES ,2A01,Communes du bassin,31535,Sauveterre de Comminges,O,741,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31536,Saux et Pomarède,O,284,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31537,Savarthès,O,142,1
