city_code,city_name,population,lat,lng,public_gestion,price
31371, Montégut-Lauragais ,462,43.483333,1.933333,1,1.325
31372, Montespan ,447,43.083333,0.866667,1,1.197
31373, Montesquieu-Guittaut ,130,43.333333,0.766667,0,1.342
31374, Montesquieu-Lauragais ,923,43.416667,1.633333,1,0
31375, Montesquieu-Volvestre ,2840,43.216667,1.233333,1,1.3
31376, Montgaillard-de-Salies ,103,43.066667,0.933333,1,1.197
31377, Montgaillard-Lauragais ,657,43.433333,1.7,1,1.325
31378, Montgaillard-sur-Save ,78,43.25,0.733333,0,1.342
31379, Montgazin ,176,43.3,1.283333,1,1.3
31380, Montgeard ,436,43.333333,1.616667,1,0
31381, Montgiscard ,2117,43.45,1.583333,1,1.532
31382, Montgras ,92,43.45,1.066667,1,1.424
31383, Montjoire ,1163,43.783333,1.533333,0,1.726
31385, Montmaurin ,233,43.216667,0.633333,0,1.342
31386, Montoulieu-Saint-Bernard ,179,43.233333,0.916667,0,1.342
31387, Montoussin ,114,43.266667,1.016667,1,1.424
31388, Montpitol ,388,43.7,1.633333,0,1.726
31389, Montrabé ,3435,43.65,1.516667,1,1.325
31390, Montréjeau ,2799,43.083333,0.583333,0,1.342
31391, Montsaunès ,439,43.116667,0.933333,1,1.197
31392, Mourvilles-Basses ,64,43.483333,1.7,1,1.325
31393, Mourvilles-Hautes ,169,43.416667,1.816667,1,1.325
31394, Moustajon ,179,42.816667,0.6,0,0
31395, Muret ,24000,43.466667,1.35,0,1.195
31396, Nailloux ,2386,43.366667,1.633333,1,0
31397, Nénigan ,56,43.35,0.7,0,1.342
31398, Nizan-Gesse ,90,43.233333,0.6,0,1.342
31399, Noé ,2581,43.35,1.266667,1,0
31400, Nogaret ,74,43.5,1.933333,1,1.325
31401, Noueilles ,330,43.416667,1.533333,1,1.532
31402, Odars ,717,43.516667,1.6,1,1.532
31403, Ondes ,841,43.783333,1.3,1,0
31405, Ore ,113,42.966667,0.65,0,1.342
31406, Palaminy ,829,43.2,1.066667,1,1.092
31407, Paulhac ,1140,43.716667,1.566667,0,1.726
31408, Payssous ,93,43.033333,0.716667,1,1.112
31409, Péchabou ,1808,43.5,1.5,1,1.532
31410, Pechbonnieu ,3824,43.7,1.466667,0,1.115
31411, Pechbusque ,834,43.516667,1.466667,1,1.532
31412, Péguilhan ,242,43.316667,0.7,0,1.342
31413, Pelleport ,505,43.733333,1.133333,1,1.413
31414, Peyrissas ,101,43.283333,0.9,0,1.342
31415, Peyrouzet ,96,43.2,0.833333,0,1.342
31417, Pibrac ,8236,43.616667,1.3,1,0.983
31418, Pin-Balma ,949,43.633333,1.533333,1,1.325
